date,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_load_average_10s,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_fs_inodes_free,container_fs_inodes_total,container_fs_io_current,container_fs_io_time_seconds_total,container_fs_io_time_weighted_seconds_total,container_fs_limit_bytes,container_fs_read_seconds_total,container_fs_reads_merged_total,container_fs_reads_total,container_fs_sector_reads_total,container_fs_sector_writes_total,container_fs_usage_bytes,container_fs_write_seconds_total,container_fs_writes_merged_total,container_fs_writes_total,container_last_seen,container_memory_cache,container_memory_failcnt,container_memory_failures_total,container_memory_mapped_file,container_memory_max_usage_bytes,container_memory_rss,container_memory_swap,container_memory_usage_bytes,container_memory_working_set_bytes,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_oom_events_total,container_spec_cpu_period,container_spec_cpu_quota,container_spec_cpu_shares,container_spec_memory_limit_bytes,container_spec_memory_reservation_limit_bytes,container_spec_memory_swap_limit_bytes,container_start_time_seconds,container_tasks_state,rps
2024-09-14 10:34:15,5.451525,0.000000,0.000000,0.000000,0.000000,0.003264,0.001321,0.000000,240.000000,1.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,7862.950951,27918336.000000,0.000000,289.271776,812.298203,138102500222.000000,39428096.000000,0.000000,75.966553,31506432.000000,1497260032.000000,833404928.000000,0.000000,978309120.000000,832393216.000000,1637.277491,0.000000,0.000000,13.059755,3967.186392,0.000000,0.000000,13.197282,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
2024-09-14 10:34:30,4.531756,0.000000,0.000000,0.000000,0.000000,0.002984,0.001404,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,7770.479725,27918336.000000,0.000000,226.838892,826.869607,138102501425.000000,39428096.000000,0.000000,53.318019,31506432.000000,1497260032.000000,833433600.000000,0.000000,978202624.000000,832286720.000000,1688.598696,0.000000,0.000000,13.403281,4095.421448,0.000000,0.000000,13.406859,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
2024-09-14 10:34:45,5.532885,0.000000,0.000000,0.000000,0.000000,0.004096,0.004716,0.000000,240.000000,0.000000,0.000002,0.000000,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,6669.661788,27918336.000000,0.000000,155.209982,741.741020,138102502629.000000,39428096.000000,0.000000,65.604288,31506432.000000,1497260032.000000,834650112.000000,0.000000,975749120.000000,829833216.000000,1724.265299,0.000000,0.000000,13.653375,4183.871304,0.000000,0.000000,13.587706,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
2024-09-14 10:35:00,5.135390,0.000000,0.000000,0.000000,0.001295,0.009037,0.004547,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,7422.132569,27918336.000000,0.000000,190.119954,783.906163,138102503818.000000,39428096.000000,0.000000,255.949915,31506432.000000,1498169344.000000,817913856.000000,0.000000,958431232.000000,810778624.000000,1577.851659,0.000000,0.000000,12.590802,3822.897143,0.000000,0.000000,12.733957,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
2024-09-14 10:35:15,4.347387,0.000000,0.000000,0.000000,0.002659,0.003033,0.001355,0.000000,240.000000,0.000000,0.000001,0.000000,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,7216.016309,27918336.000000,0.000000,162.855985,683.475481,138102505024.000000,39428096.000000,0.000000,60.640628,31506432.000000,1498169344.000000,817942528.000000,0.000000,958451712.000000,810799104.000000,1755.075871,0.000000,0.000000,13.899547,4258.502237,0.000000,0.000000,13.837331,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
2024-09-14 10:35:30,5.761134,0.000000,0.000000,0.000000,0.000000,0.003397,0.002684,0.000000,240.000000,2.000000,0.000002,0.000000,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,7000.252811,27918336.000000,0.000000,148.434047,784.867450,138102506206.000000,39428096.000000,0.000000,56.347004,31506432.000000,1498169344.000000,817987584.000000,0.000000,958382080.000000,810729472.000000,1643.769664,0.000000,0.000000,13.050514,3986.515276,0.000000,0.000000,13.060431,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
2024-09-14 10:35:45,4.520793,0.000000,0.000000,0.000000,0.000000,0.003333,0.000000,0.000000,240.000000,1.000000,0.000001,0.000000,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,6893.878300,27918336.000000,0.000000,152.815824,742.959812,138102507389.000000,39428096.000000,0.000000,73.726421,31506432.000000,1498169344.000000,818339840.000000,0.000000,958746624.000000,811094016.000000,1695.717455,0.000000,0.000000,13.462983,4112.498360,0.000000,0.000000,13.473290,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
2024-09-14 10:36:00,5.726700,0.000000,0.000000,0.000000,0.000000,0.003254,0.002607,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,8011.991223,27918336.000000,0.000000,171.014920,832.295318,138102508467.000000,39428096.000000,0.000000,85.137677,31506432.000000,1498169344.000000,818716672.000000,0.000000,959135744.000000,811483136.000000,1664.137109,0.000000,0.000000,13.210591,4036.006918,0.000000,0.000000,13.217214,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
2024-09-14 10:36:15,5.718212,0.000000,0.000000,0.000000,0.000000,0.003859,0.002771,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,7601.709816,27918336.000000,0.000000,160.491307,739.957798,138102509830.000000,39428096.000000,0.000000,78.448956,31506432.000000,1498169344.000000,819134464.000000,0.000000,959565824.000000,811913216.000000,1715.100173,0.000000,0.000000,13.582509,4161.531790,0.000000,0.000000,13.520774,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
2024-09-14 10:36:30,5.610669,0.000000,0.000000,0.000000,0.001292,0.004043,0.005322,0.000000,240.000000,0.000000,0.000002,0.000000,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,7108.284522,27918336.000000,0.000000,163.841345,773.428226,138102511008.000000,39428096.000000,0.000000,82.151858,31506432.000000,1498169344.000000,819445760.000000,0.000000,959897600.000000,812244992.000000,1689.699700,0.000000,0.000000,13.411241,4098.137719,0.000000,0.000000,13.413184,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,0.000000
